,id,name,class,public_opinion,response_time,establishment_time,office_start,office_end,public_impact,address,latitude,longitude
55,56,Karuna Parivar Trust,"[17, 27, 29, 30]",3.9,2.0,0.0,1000.0,1800.0,2.0, Aarey Road Goregaon West Mumbai - 400062,46.71123,24.748144
56,57,Reliance Foundation,[27],4.9,3.0,0.0,0.0,2359.0,3.0, Maker Chambers IV Nariman Point Mumbai - 400021,72.839616,19.161955
57,58,Kotak Education Foundation,[27],4.1,2.0,0.0,1000.0,1800.0,2.0, Ujagar Silk Mills Deonar Mumbai - 400088,72.822365,18.924961
58,59,National Society For Equal Opportunities For Handicapped,"[17, 18, 27]",4.1,3.0,1968.0,930.0,1830.0,3.0,Postal Colony Road Chembur East Mumbai - 400071,140.87138,38.264606
59,60,Swagat Ashram Charitable trust,"[2, 3, 5, 7, 9, 13, 17, 26, 27, 31, 32]",4.0,2.0,2008.0,900.0,2100.0,3.0,Marve Road Malad West Mumbai - 400095,72.900635,19.069359
60,61,Swabhimaan Sanghatna,[27],4.0,1.0,2006.0,1000.0,1800.0,2.0, S V Road Bandra West Mumbai - 400050,72.8347,19.1849
61,62,Bal Sevashram Sangha,"[5, 16, 27]",4.0,2.0,1917.0,0.0,2359.0,2.0, Swami Pranavanandji Marg Vashi Navi Mumbai - 400703,72.84056,19.05444
62,63,Cancer Patients Aid Assocation,"[16, 27]",4.0,2.0,1969.0,1000.0,1800.0,2.0, Dr. E Moses Road Mahalaxmi Mumbai - 400011,73.07007,19.045242
63,64,Vatsalya Foundation,"[3, 5, 7, 17, 27]",4.0,2.0,1982.0,1000.0,1700.0,3.0, Dr E Moses Road Mahalaxmi Mumbai - 400011,6.5833,52.9167
64,65,World of Animal Care and Adoption,"[24, 27, 33]",3.7,2.0,2009.0,900.0,1830.0,2.0, Mumbai - 400093Andheri East Mumbai - 400093,6.5833,52.9167
65,66,Creative Handicrafts,"[27, 34]",4.2,2.0,1994.0,900.0,1730.0,2.0, D P Road No 11 Andheri East Mumbai - 400093,72.83333,18.96667
66,67,Kherwadi Social Welfare Association,"[26, 27, 35]",4.0,3.0,1928.0,1000.0,1800.0,3.0, Teen Bungalow Road Kherwadi-Bandra East Mumbai - 400051,72.8712,19.1145
67,68,Modern Educational Social and Cultural Organization,"[17, 27]",4.0,2.0,1968.0,900.0,1700.0,2.0, Tulsi Pipe Road Mahim Mumbai - 400016,72.85551,19.062792
68,69,Paani foundation,"[27, 11]",4.5,3.0,0.0,0.0,0.0,5.0, Talmiki Road Santacruz West Mumbai - 400054,72.84409,19.022575
69,70,Kisangopal Rajpuria Vanaprashtashram,"[13, 27]",4.0,2.0,1982.0,900.0,1700.0,2.0,Uttan Road Bhayandar East Thane - 401106,72.83666,19.083336
70,71,Aamcha Ghar,"[3, 5, 17, 27]",4.0,2.0,1997.0,1000.0,2000.0,2.0, Bhayandar West Uttan Thane - 401106,72.861556,19.306722
71,72,Consumer Guidance society of India,"[27, 36]",0.0,0.0,1966.0,1000.0,1700.0,0.0, Mahapalika Marg Fort Mumbai - 400001,72.8511,19.3016
72,73,Konkan Kala Va Sikshan Vikas Sanstha,"[2, 9, 27]",4.5,3.0,0.0,930.0,1830.0,3.0, Mmg Marg Dadar East Mumbai - 400014,12.505063,55.661163
73,74,Urban Community development Centre,[27],4.0,2.0,1971.0,930.0,1900.0,2.0, 14th Road Bandra West Mumbai - 400050,72.84476,19.01798
74,75,Magic Bus India(Head Office),[27],4.0,2.0,0.0,900.0,1800.0,2.0, LBS Marg Vikhroli West Mumbai - 400079,10.41944,5.47944
75,76,Nagpada Neighbourhood house,"[27, 37]",3.5,2.0,1927.0,930.0,1700.0,2.0, Sofia Zuber Road Nagpada-Mumbai Central Mumbai - 400008,72.921567,19.11333
76,77,Helpage India,"[13, 17, 27]",4.1,3.0,1978.0,0.0,0.0,3.0, Jaiprakash Road Andheri West Mumbai - 400053,23.33333,42.7
77,78,Seal Ashram,"[5, 6, 22, 27]",4.0,2.0,1989.0,900.0,1800.0,3.0,Office No L S 35/ 7/ 1 New Panvel Navi Mumbai - 410206,72.830765,19.135551
78,79,Sankalp Pratishthan,[27],4.0,2.0,0.0,0.0,2359.0,2.0, Wagle Estate Raghunath Nagar Thane - 400604,0.0,0.0
79,80,Suvarna Konkan Foundation,[27],4.0,2.0,2014.0,900.0,1800.0,3.0, Station Road Ghatkopar East Mumbai - 400075,72.95365,19.197916
80,81,Child Vision Foundation,"[3, 5, 18, 27, 38]",4.0,2.0,0.0,0.0,2359.0,2.0, Sion Trombay Road Chembur East Mumbai - 400071,72.905931,19.078305
81,82,Human Rights Council of India,"[2, 3, 5, 6, 7, 9, 13, 17, 26, 28, 25, 27, 38, 39]",4.0,2.0,2013.0,930.0,1830.0,3.0, Shiv Vallabh Road Dahisar Mumbai - 400068,72.86423,19.042686
82,83,Asset Reconstruction Company India LTD.,"[27, 40]",4.0,2.0,2002.0,1000.0,1900.0,2.0, Senapati Bapat Marg Dadar West Mumbai - 400028,72.82,18.96
83,84,Arzoo Swabhiman Nagarik Samiti,[27],3.7,2.0,2012.0,1130.0,1700.0,2.0, Dreams Mall Bhandup West Mumbai - 400078,72.82545,18.996067
